Rank,Washing Machine Name,Rating,Price,Product Link,Start Time,End Time
36,"IFB 6.5 Kg 5 Star Powered by AI with 9 Swirl Wash, Fully Automatic Front Load Washing Machine (ELENA GXN 6510, Steam Refresh",4.1 out of 5 stars,"₹25,990.00",https://www.amazon.in/IFB-Automatic-ELENA-GXN-6510/dp/B0DFLWL16S/ref=zg_bs_g_1380373031_d_sccl_36/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
37,"IFB 6.5 Kg 5 Star with Deep Clean® Technology, AI Powered, Fully Automatic Top Load Washing Machine (TL650MG1, ActivMix, Aqua",3.9 out of 5 stars,"₹16,990.00",https://www.amazon.in/IFB-Powered-Automatic-TL650MG1-ActivMix/dp/B0D8LGCYZD/ref=zg_bs_g_1380373031_d_sccl_37/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
38,"Haier 8 kg 5 Star Powered by AI-DBT with PuriSteam, 525mm Super Drum Fully Automatic Front Load Washing Machine (HW80-IM12929",4.2 out of 5 stars,"₹28,990.00",https://www.amazon.in/Haier-Automatic-Washing-Inverter-HW80-IM12929C/dp/B09QT66RXS/ref=zg_bs_g_1380373031_d_sccl_38/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
39,"LG 8 Kg, 5 Star, Smart Inverter Technology, Wi-Fi, Turbowash, Fully Automatic Top Load Washing Machine With In-built heater (",4.0 out of 5 stars,"₹25,990.00",https://www.amazon.in/LG-Technology-Turbowash-Automatic-T80V4OB1S/dp/B0FDB5W3ZQ/ref=zg_bs_g_1380373031_d_sccl_39/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
40,"Samsung 12 kg, 5star, AI Control, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam with Inbuilt Heater, Digital Inverter, Full",4.3 out of 5 stars,"₹45,990.00",https://www.amazon.in/Samsung-Ecobubble-Inverter-Fully-Automatic-WW12DG6B24ASTL/dp/B0DFCWTNT6/ref=zg_bs_g_1380373031_d_sccl_40/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
41,"Samsung 12 kg, 5star, AI Ecobubble, Super Speed, Wi-Fi, Hygiene Steam with Inbuilt Heater, Digital Inverter, Fully-Automatic",4.2 out of 5 stars,"₹40,690.00",https://www.amazon.in/Samsung-Ecobubble-Inverter-Fully-Automatic-WW12DG5B24AXTL/dp/B0DFD25CCX/ref=zg_bs_g_1380373031_d_sccl_41/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
42,"Panasonic 7 Kg 5 Star Fully-Automatic Top Load Washing Machine (2025 Model, NA-F70LF4CRB, Charcoal Inox Grey, 12 Wash Program",4.2 out of 5 stars,"₹14,590.00",https://www.amazon.in/Panasonic-Fully-Automatic-NA-F70LF4CRB-Technology-Antibacterial/dp/B0DSZRD6C5/ref=zg_bs_g_1380373031_d_sccl_42/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
43,"LG 10.0 Kg 5 Star AI Direct Drive Technology, ThinQ (Wi-Fi), Steam Wash for Allergy Removal Fully Automatic Top Loading Washi",4.2 out of 5 stars,"₹32,990.00",https://www.amazon.in/LG-Technology-Automatic-THD10SWM-Convenience/dp/B0D8VWX3P1/ref=zg_bs_g_1380373031_d_sccl_43/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
44,"ROMINO 0.8Kg Portable Mini Washing Machine, Foldable Washing Machine Top Load Fully Automatic with 3 Modes Spinner and Dryer,",4.7 out of 5 stars,"₹1,899.00",https://www.amazon.in/ROMINO-Portable-Washing-Foldable-Automatic/dp/B0FJMJFQ4H/ref=zg_bs_g_1380373031_d_sccl_44/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
45,MAXISMART MiNi wAsHiNg mAcHiNe tUrBiNe wAsHiNg mAcHiNe wAsHiNg mAcHiNe dOoR HiNgE UlTrAsOnIc lIgHtWeIgHt tUrBo wAsHeR WiTh uS,2.5 out of 5 stars,₹271.00,https://www.amazon.in/MAXISMART-wAsHiNg-mAcHiNe-UlTrAsOnIc-lIgHtWeIgHt/dp/B0DZHWMKD9/ref=zg_bs_g_1380373031_d_sccl_45/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
