Rank,Product Name,Rating,Price,Product Link,Scraped Time
25,SeMi AuToMaTiC FoLdInG 11L SmAlL MiNi WaShInG MaChInE WiTh DrYeR DeEp CLeAnInG FoR UnDeRwEaR WaShINg MaChInE SeMi AuToMaTiC A,5.0 out of 5 stars,N/A,https://www.amazon.in/AuToMaTiC-FoLdInG-WaShInG-CLeAnInG-UnDeRwEaR/dp/B0FHQKG78D/ref=zg_bs_g_1380369031_d_sccl_25/257-7859944-9146142?psc=1,2025-08-05 21:09:30
26,"Acer 10.0 Kg 5 Star Semi-Automatic Top Loading Washing Machine(AR10SAMBGL124D, Black-Grey, 4 Wash Programs, Hexa Flow Pulsato",4.2 out of 5 stars,N/A,https://www.amazon.in/Semi-Automatic-AR10SAMBGL124D-Black-Grey-Programs-Pulsator/dp/B0DK5S3PRZ/ref=zg_bs_g_1380369031_d_sccl_26/257-7859944-9146142?psc=1,2025-08-05 21:09:30
27,"Godrej 7 Kg 5 Star, Active Soak Technology, 370 W PowerMax Wash For Heavy Laundry Wash, Toughened Glass Lid, Semi Automatic T",4.2 out of 5 stars,N/A,https://www.amazon.in/Godrej-EDGE-CLS-5-0-GPGR/dp/B0BS6RFKKL/ref=zg_bs_g_1380369031_d_sccl_27/257-7859944-9146142?psc=1,2025-08-05 21:09:30
28,"Voltas Beko, A Tata Product 10 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTL1006UEA/OBS1060, Grey, Double Waterf",4.6 out of 5 stars,N/A,https://www.amazon.in/Voltas-Beko-Fully-Automatic-WTL1006UEA-OBS1060/dp/B0DDTVPH7V/ref=zg_bs_g_1380369031_d_sccl_28/257-7859944-9146142?psc=1,2025-08-05 21:09:30
29,SeMi AuToMaTiC FoLdInG 11L SmAlL MiNi WaShInG MaChInE WiTh DrYeR DeEp CLeAnInG FoR UnDeRwEaR WaShINg MaChInE SeMi AuToMaTiC L,5.0 out of 5 stars,N/A,https://www.amazon.in/AuToMaTiC-FoLdInG-WaShInG-CLeAnInG-UnDeRwEaR/dp/B0FHQKJLWP/ref=zg_bs_g_1380369031_d_sccl_29/257-7859944-9146142?psc=1,2025-08-05 21:09:30
30,"Panasonic 6.5 Kg 5 Star Fully-Automatic Top Load Washing Machine (2025 Model, NA-F65LF4CRB, Charcoal Inox Grey, 12 Wash Progr",4.2 out of 5 stars,"₹13,790.00",https://www.amazon.in/Panasonic-Fully-Automatic-NA-F65LF4CRB-Technology-Antibacterial/dp/B0DSZQ7MCL/ref=zg_bs_g_1380369031_d_sccl_30/257-7859944-9146142?psc=1,2025-08-05 21:09:30
31,"Voltas Beko, A Tata Product 9 Kg 5 Star Semi-Automatic Top Loading Washing Machine (WTT90UHA/OK5B1B1S23, Black, Pulsator Wash",4.0 out of 5 stars,N/A,https://www.amazon.in/Voltas-Beko-Semi-Automatic-WTT90UHA-OK5B1B1S23/dp/B0D95VC9WT/ref=zg_bs_g_1380369031_d_sccl_81/257-7859944-9146142?psc=1,2025-08-05 21:09:30
32,"Haier 9 Kg 5 Star Powered by AI-DBT with Direct Drive Technology, PuriSteam, 525mm Super Drum Fully Automatic Front Load Wash",4.1 out of 5 stars,"₹34,800.00",https://www.amazon.in/Haier-Technology-Fully-Automatic-EFL90-DM14IBIEBK-PuriSteam/dp/B0D45WX1HR/ref=zg_bs_g_1380369031_d_sccl_82/257-7859944-9146142?psc=1,2025-08-05 21:09:30
33,"Panasonic 7 kg 5 Star Inverter Fully Automatic Front Loading Washing Machine with Built-In Heater (NA-147MH2L01, Dark Silver,",4.3 out of 5 stars,N/A,https://www.amazon.in/Panasonic-Inverter-Automatic-Loading-NA-147MH2L01/dp/B0D5DDGTDN/ref=zg_bs_g_1380369031_d_sccl_83/257-7859944-9146142?psc=1,2025-08-05 21:09:30
34,"IFB 7.5 Kg 5 Star with DeepClean® Technology, AI Powered, Fully Automatic Top Load Washing Machine (TL751MS2S, PowerSteam®, I",3.8 out of 5 stars,N/A,https://www.amazon.in/IFB-DeepClean%C2%AE-Technology-TL751MS2S-PowerSteam%C2%AE/dp/B0DSLLJKPB/ref=zg_bs_g_1380369031_d_sccl_84/257-7859944-9146142?psc=1,2025-08-05 21:09:30
35,"Voltas beko, A TATA Product 7.5 kg Semi - Automatic Top Load Washer (2023 Model, WST75BBRT, Burgundy, Wings Pulsator wash met",3.8 out of 5 stars,"₹5,690.00",https://www.amazon.in/Voltas-Beko-Washer-Maroon-WST75BBRT/dp/B089PYVGNW/ref=zg_bs_g_1380369031_d_sccl_85/257-7859944-9146142?psc=1,2025-08-05 21:09:30
36,"IFB 9 Kg 5 Star with DeepClean® Technology, AI Powered, Fully Automatic Top Load Washing Machine (TL900NB2S, PowerSteam®, Inb",3.7 out of 5 stars,N/A,https://www.amazon.in/IFB-DeepClean%C2%AE-Technology-TL900NB2S-PowerSteam%C2%AE/dp/B0DSLKCQ7Q/ref=zg_bs_g_1380369031_d_sccl_86/257-7859944-9146142?psc=1,2025-08-05 21:09:30
37,SeMi AuToMaTiC FoLdInG 11L SmAlL MiNi WaShInG MaChInE WiTh DrYeR DeEp CLeAnInG FoR UnDeRwEaR WaShINg MaChInE SeMi AuToMaTiC Q,5.0 out of 5 stars,N/A,https://www.amazon.in/AuToMaTiC-FoLdInG-WaShInG-CLeAnInG-UnDeRwEaR/dp/B0FHHP6RW8/ref=zg_bs_g_1380369031_d_sccl_87/257-7859944-9146142?psc=1,2025-08-05 21:09:30
38,"Lukzer Mini Foldable Washing Machine | Portable, Compact & Lightweight Laundry Machine for Travel, Dorms & Small Spaces | Ide",N/A,N/A,https://www.amazon.in/Lukzer-Portable-Foldable-Collapsible-28x28x27-5cm/dp/B0CM9KQY3D/ref=zg_bs_g_1380369031_d_sccl_88/257-7859944-9146142?psc=1,2025-08-05 21:09:30
